GRAFFITI,POT_HOLES,RODENTS,GARBAGE,STREET_LIGHTS,TREE_DEBRIS,ABANDONED_BUILDINGS,CRIME_TOTALS
0,0,0,0,1,0,0,28
0,0,0,0,0,0,0,78
0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,62
0,0,0,0,0,0,0,13
0,1,0,0,0,0,0,2
1,0,0,0,2,0,0,1
9,18,4,2,4,2,0,62
0,9,0,2,4,0,0,21
0,3,0,1,0,0,0,4
6,27,16,14,32,15,5,70
0,8,0,2,4,7,1,14
2,23,2,6,14,21,3,27
2,27,2,1,7,9,0,24
2,30,3,7,5,12,1,31
8,13,3,1,6,5,1,21
7,9,3,0,4,5,3,34
60,47,48,10,18,12,4,136
47,57,14,7,22,25,4,125
10,24,11,7,13,18,1,28
13,78,26,10,16,54,2,73
1,31,3,4,4,14,2,25
50,114,27,10,17,26,3,98
30,59,0,4,12,8,4,52
19,14,4,0,2,0,0,42
9,36,16,5,6,9,4,147
15,53,19,9,24,14,11,255
382,100,57,25,23,15,7,318
119,69,26,15,32,30,5,204
46,66,24,17,37,31,4,148
24,52,6,16,16,28,4,81
0,23,1,2,14,19,0,14
18,42,15,6,9,8,9,74
45,46,2,9,12,9,3,101
0,0,0,0,1,0,0,0
9,19,9,1,9,3,3,124
54,122,86,42,40,43,64,1392
48,107,89,29,32,29,39,773
491,90,63,20,30,13,14,490
253,86,81,31,32,35,9,340
140,98,25,18,27,28,6,194
11,49,4,4,15,12,0,58
0,8,0,0,7,6,1,0
23,48,26,7,17,14,7,78
13,19,8,5,4,14,3,111
112,68,36,11,27,19,8,211
384,79,34,13,23,23,11,207
34,15,0,1,5,0,0,15
372,63,19,9,21,13,25,219
26,58,27,18,21,10,36,488
37,92,63,26,36,22,73,893
141,57,48,23,37,12,20,640
395,132,36,28,30,11,14,416
387,106,56,26,31,26,5,362
89,80,25,15,23,18,2,212
14,63,9,4,16,21,0,44
0,6,1,0,4,3,0,20
2,36,6,8,31,20,3,31
47,37,25,12,22,36,12,145
132,80,40,24,23,22,9,144
421,135,78,30,24,22,32,366
747,123,44,12,33,6,16,387
117,33,7,6,7,6,3,69
877,89,61,29,51,21,18,593
52,65,76,38,50,14,57,1164
41,90,65,36,43,12,61,872
157,88,60,56,38,8,37,795
582,140,130,50,48,23,33,625
462,131,69,24,43,23,8,400
433,83,56,22,28,16,7,416
63,92,53,17,15,14,3,151
2,40,1,1,5,10,1,13
0,10,3,0,11,8,0,9
8,53,20,17,17,36,6,82
1,10,3,1,1,8,0,17
11,48,12,22,27,23,6,143
35,52,22,34,26,36,34,371
392,109,74,45,49,12,63,1110
564,118,31,19,40,8,22,401
649,82,61,18,34,15,19,312
743,72,23,12,32,6,15,281
198,76,26,18,50,12,19,473
114,48,43,20,47,9,30,489
372,125,92,18,41,8,14,579
481,114,109,28,33,12,9,486
295,77,50,14,28,11,4,239
185,79,56,14,27,17,6,256
145,115,94,27,29,17,5,402
112,128,40,20,21,46,7,265
1,25,7,10,15,25,8,109
4,68,5,21,24,114,4,130
8,75,6,9,32,96,4,158
6,71,39,30,33,40,29,500
21,52,98,52,29,60,59,635
23,67,101,44,28,22,131,883
230,85,53,41,46,17,89,732
281,56,35,27,22,15,10,193
435,41,13,17,27,2,9,195
345,65,21,17,28,5,5,377
207,70,39,23,47,2,10,409
665,103,117,31,28,6,11,686
174,113,119,26,19,9,7,338
277,100,99,21,22,21,6,347
275,54,55,18,25,22,3,350
184,136,50,18,39,28,7,300
307,193,31,30,28,28,6,624
3,15,0,1,0,2,0,65
1,7,3,3,12,5,3,39
4,45,13,10,22,26,31,273
3,67,16,15,35,51,14,325
6,77,28,34,56,56,22,293
8,75,33,38,55,34,43,556
19,68,67,63,51,51,95,881
32,51,78,34,58,26,101,740
43,45,42,19,44,25,53,370
72,33,65,15,25,18,15,119
258,60,25,36,25,4,6,234
275,96,19,13,31,2,5,386
134,98,10,16,21,2,6,528
133,73,64,13,24,3,8,495
215,104,161,35,32,11,4,543
166,106,65,41,33,5,6,675
114,58,12,13,17,12,4,484
44,51,13,14,13,0,0,195
1,2,1,1,2,0,0,11
0,0,0,1,0,0,0,3
4,18,0,4,12,17,11,87
18,70,11,28,40,60,62,579
8,51,16,22,43,54,85,714
10,63,23,20,40,53,31,382
2,54,11,17,34,35,13,314
9,104,43,56,60,50,40,681
13,47,25,11,39,10,36,701
9,94,21,17,27,18,24,633
9,66,28,15,23,22,30,517
53,88,14,9,25,5,4,286
97,53,5,10,15,1,1,418
266,177,10,12,39,0,2,1469
146,121,30,12,22,3,0,720
14,22,2,0,3,0,0,59
0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,2
0,1,0,0,0,0,1,0
1,17,1,1,8,10,7,156
2,18,0,2,6,5,3,49
6,37,8,8,35,29,18,183
5,58,12,10,34,28,13,189
9,77,20,37,49,48,22,669
16,100,34,36,46,28,65,593
14,58,32,35,36,13,45,719
21,66,18,14,39,20,6,419
7,26,6,9,28,19,14,357
0,11,0,0,2,0,0,27
3,0,0,0,0,0,0,10
13,21,0,0,3,0,0,30
0,13,0,0,0,0,0,1
0,0,0,1,0,0,0,0
0,4,0,0,1,0,0,12
4,33,4,7,25,19,7,174
11,96,12,15,35,42,13,344
23,117,52,37,41,46,41,897
8,37,14,10,16,5,4,329
30,43,9,6,19,7,1,191
0,0,0,0,1,0,0,0
18,15,2,0,8,13,1,41
0,3,0,0,2,0,0,1
48,28,3,1,7,4,3,107
69,46,4,14,46,47,25,258
81,73,14,36,64,34,81,621
22,90,16,47,51,17,64,805
0,6,0,0,3,0,4,23
0,0,0,0,0,0,0,6
38,24,1,1,9,9,5,71
12,9,0,1,4,0,0,12
334,53,4,9,29,17,6,159
113,15,3,0,11,4,5,123
41,14,4,3,22,9,25,135
0,1,0,0,1,0,1,16
0,1,0,0,0,0,0,0
11,5,0,1,2,0,0,9
0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,6
0,1,0,0,0,0,0,0
0,1,1,0,0,0,0,96
0,1,1,0,0,0,0,489
0,0,0,0,0,0,0,61
0,0,0,0,0,0,0,4
1,1,0,0,0,0,0,3
3,0,0,0,0,0,0,335
0,0,0,0,0,0,0,28
0,8,0,0,0,0,0,17
2,0,0,0,4,0,0,0
1,6,0,7,11,10,2,10
35,73,12,17,33,20,1,286
4,67,0,3,7,0,0,147
3,15,4,1,5,8,1,16
41,193,87,64,99,101,20,399
3,58,2,12,22,37,6,66
13,162,16,12,68,95,5,112
5,146,10,6,42,48,1,119
32,155,23,27,29,40,9,143
28,78,6,13,13,20,7,84
41,64,11,15,41,35,11,221
287,238,239,76,123,104,22,721
260,334,72,58,138,85,20,669
53,124,55,26,72,67,7,179
42,349,122,47,98,245,17,366
13,107,6,23,39,75,3,117
257,539,163,86,105,109,33,490
165,278,15,20,66,39,7,232
121,96,22,13,10,9,1,176
44,186,72,31,48,66,36,796
60,235,104,55,74,87,45,1331
1818,534,252,112,124,82,62,1730
548,386,193,87,159,130,25,918
255,349,98,72,151,152,22,661
108,295,49,85,114,131,12,486
7,94,10,3,40,87,2,64
119,205,65,40,66,65,25,355
227,272,28,28,65,46,21,543
0,1,0,0,1,2,0,2
64,99,54,19,25,14,28,648
259,645,400,163,203,219,370,7064
222,500,412,147,186,128,185,3966
2577,478,311,108,151,62,72,2359
1234,499,423,117,148,142,29,1628
661,482,104,84,154,139,17,996
38,212,49,47,85,82,9,254
4,33,1,1,20,21,2,15
0,0,0,0,1,0,0,3
1,0,0,0,0,0,0,2
145,187,157,36,67,127,20,343
75,122,54,19,31,59,17,570
645,335,180,64,148,91,54,999
1906,426,176,80,152,61,53,1181
117,77,16,4,14,5,1,74
1860,247,117,54,91,78,83,1200
90,269,182,96,126,56,208,2193
176,424,284,124,190,102,357,4351
724,315,209,116,139,75,116,3293
1981,523,214,124,141,40,65,2173
1916,543,282,110,159,133,35,1705
498,435,107,44,92,93,15,1069
47,304,55,20,64,104,3,202
0,26,6,8,30,38,1,84
11,211,64,36,133,152,12,216
3,0,1,0,3,3,0,5
235,305,98,107,148,165,35,673
596,345,180,122,83,129,64,853
2017,640,356,109,128,116,157,1783
3688,609,210,51,165,43,62,1674
593,167,40,31,37,16,18,398
4271,511,272,110,224,65,88,2888
260,374,369,201,270,63,337,5990
235,374,386,167,297,76,280,4441
860,470,351,294,217,58,204,3853
2772,684,544,238,236,95,125,2951
2528,574,355,151,183,111,40,2022
2283,462,218,118,86,98,30,2001
282,401,271,89,80,79,13,722
20,151,17,13,31,45,3,119
2,51,22,7,35,45,4,67
8,258,72,54,109,152,13,441
5,24,13,12,6,37,3,90
59,193,80,100,156,124,28,724
150,249,154,145,132,122,115,1966
1834,575,375,250,245,110,397,5229
2854,599,206,100,181,39,98,1880
2985,421,318,102,119,51,58,1666
3837,355,98,53,170,20,73,1535
954,369,131,105,192,41,145,2336
565,300,257,107,241,61,137,2592
1660,574,425,163,189,68,105,2948
2543,615,572,137,161,93,54,2343
1332,343,272,81,143,82,31,1121
1025,369,272,102,117,93,32,1292
703,559,518,180,132,92,32,1917
512,649,203,94,135,193,24,1291
22,119,20,30,93,148,47,586
23,354,35,65,127,455,41,688
41,402,41,56,178,454,31,772
38,316,160,177,187,145,139,2288
82,280,495,267,170,231,336,3273
138,306,554,205,185,192,694,4292
1219,483,283,167,245,70,389,3786
1424,309,107,99,97,67,49,923
2168,250,66,43,108,17,35,919
1828,376,84,50,203,16,28,1710
1039,344,167,79,180,25,52,2121
3261,493,517,183,179,68,59,3416
884,541,561,125,87,52,41,1715
1406,531,459,126,150,102,26,1701
1325,318,286,106,125,90,22,1739
888,574,210,112,154,144,30,1560
1687,943,229,119,125,151,20,3057
23,51,1,5,15,9,1,305
1,52,9,10,56,15,8,231
27,271,69,74,148,140,116,1401
18,302,93,73,220,259,89,1669
20,363,91,156,254,213,111,1606
51,434,180,204,268,180,208,2741
86,312,316,238,248,252,456,4294
109,234,338,164,175,167,483,3752
254,256,271,80,206,142,244,1976
362,216,253,81,102,70,34,676
1297,334,146,130,149,46,47,1281
1327,516,80,49,144,18,19,1897
679,563,48,87,118,9,31,2727
663,459,379,78,135,37,28,2516
1182,562,713,191,190,59,28,2716
850,512,272,146,123,45,19,3551
710,273,44,78,80,43,13,2338
222,199,40,36,59,11,6,991
14,13,5,2,1,1,1,38
0,4,1,0,1,2,4,13
13,102,20,18,57,58,39,401
95,382,96,155,209,322,357,2727
88,246,135,115,235,304,411,3485
38,323,93,125,238,225,149,1984
14,271,44,101,149,164,78,1567
56,500,184,266,271,280,227,3671
56,256,78,83,143,76,152,3508
55,396,147,122,161,113,140,2972
57,338,114,75,142,113,76,2644
272,415,63,60,152,16,24,1356
514,234,19,44,97,7,14,2193
1424,848,60,65,177,4,11,7424
707,615,156,72,140,11,18,3679
71,161,5,6,28,2,1,403
0,2,0,0,1,0,0,0
0,0,0,0,0,0,0,9
0,4,0,0,1,0,2,4
4,61,7,9,37,34,20,796
9,77,2,6,15,11,11,216
35,207,38,57,163,166,95,1037
10,247,54,50,171,120,75,980
25,315,87,168,216,192,125,3091
83,486,202,179,232,158,257,3117
72,298,152,135,184,87,165,3388
101,340,110,68,149,130,37,2314
20,182,41,63,106,79,49,1652
1,43,1,1,19,1,1,118
16,5,0,0,4,0,0,55
56,99,1,1,11,0,1,175
0,50,0,0,3,0,0,7
0,11,0,1,0,0,0,5
0,49,0,0,8,0,0,51
37,166,37,64,140,105,68,835
61,453,93,76,239,246,76,1611
81,574,281,176,223,175,203,4590
33,227,76,34,99,34,11,1463
172,163,45,16,95,31,9,966
0,0,0,0,1,0,0,0
86,91,4,9,68,27,8,192
2,26,0,0,4,2,0,6
250,129,2,12,45,23,25,516
323,220,48,135,227,221,136,1301
412,362,96,164,303,177,506,2942
80,354,72,223,206,126,304,4167
4,18,6,2,18,3,7,77
0,0,0,0,1,0,0,15
194,111,6,13,45,37,22,345
32,22,1,2,23,6,0,65
1633,228,20,40,144,73,48,787
496,83,11,24,53,32,24,530
216,62,24,13,59,20,113,678
3,7,2,1,4,0,2,42
0,1,0,0,0,0,0,0
62,25,0,1,11,6,4,41
0,0,0,0,0,3,0,1
